description powerLevel age speed mallice intelligence
Vegeta 10 10 10 10 10
Trunks 10 10 10 10 10
Goku 10 10 10 10 10
Gohan 10 10 10 10 10
ChiChi 10 10 10 10 10
Cell 10 10 10 10 10
Piccolo 10 10 10 10 10
Bulma 10 10 10 10 10
Tien 10 10 10 10 10
Freeza 10 10 10 10 10
Kuririn 10 10 10 10 10
Android20 10 10 10 10 10  
Android19 10 10 10 10 10
Android18 10 10 10 10 10
Android17 10 10 10 10 10
Android16 10 10 10 10 10
Yamaha 10 10 10 10 10
TaoPaiPai 10 10 10 10 10
DrBrief 10 10 10 10 10
Janemba 10 10 10 10 10
Puar 10 10 10 10 10
MasterRoshi 10 10 10 10 10
Oolong 10 10 10 10 10
MrSatan 10 10 10 10 10
CapGinyu 10 10 10 10 10
KingCold 610 10 10 10 10
Recoome 10 10 10 10 10
Burter 10 10 10 10 10
Jeice 410 10 10 10 10
Guldo 10 10 10 10 10
Zarbon 10 10 10 10 10
Dodoria 10 10 10 10 10
Nappa 10 10 10 10 10
Videl 10 10 10 10 10
Kame 10 10 10 10 10
Yajirobe 10 10 10 10 10
CellJr 10 10 10 10 10
Dende 10 10 10 10 10
Nail 10 10 10 10 10
Goten 10 10 10 10 10
